symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RELI,2018-07-24 00:00:00+00:00,0.007,0.007,0.007,0.007,51000,8.99955,8.99955,8.99955,8.99955,39,0.0,1.0
RELI,2018-07-25 00:00:00+00:00,0.0087,0.0087,0.0076,0.0085,391680,11.185155,11.185155,9.77094,10.928025,304,0.0,1.0
RELI,2018-07-26 00:00:00+00:00,0.0072,0.008,0.0066,0.008,584809,9.25668,10.2852,8.48529,10.2852,454,0.0,1.0
RELI,2018-07-27 00:00:00+00:00,0.0089,0.011,0.0069,0.0069,578670,11.442285,14.14215,8.870985,8.870985,450,0.0,1.0
RELI,2018-07-30 00:00:00+00:00,0.0093,0.017,0.00845,0.0089,1193613,11.956545,21.85605,10.8637425,11.442285,928,0.0,1.0
RELI,2018-07-31 00:00:00+00:00,0.0089,0.009,0.0066,0.009,135586,11.442285,11.57085,8.48529,11.57085,105,0.0,1.0
RELI,2018-08-01 00:00:00+00:00,0.0055,0.006125,0.0046,0.006125,862645,7.071075,7.87460625,5.91399,7.87460625,670,0.0,1.0
RELI,2018-08-02 00:00:00+00:00,0.0055,0.0055,0.005,0.0055,110428,7.071075,7.071075,6.42825,7.071075,85,0.0,1.0
RELI,2018-08-03 00:00:00+00:00,0.0055,0.0055,0.0037,0.0055,1149829,7.071075,7.071075,4.756905,7.071075,894,0.0,1.0
RELI,2018-08-06 00:00:00+00:00,0.00529,0.0053,0.00529,0.0053,123000,6.8010885,6.813945,6.8010885,6.813945,95,0.0,1.0
RELI,2018-08-07 00:00:00+00:00,0.0088,0.0101,0.00529,0.0053,8480644,11.31372,12.985065,6.8010885,6.813945,6596,0.0,1.0
RELI,2018-08-08 00:00:00+00:00,0.0055,0.0084,0.0055,0.0084,2871990,7.071075,10.79946,7.071075,10.79946,2233,0.0,1.0
RELI,2018-08-09 00:00:00+00:00,0.0086,0.0086,0.005,0.0051,2137992,11.05659,11.05659,6.42825,6.556815,1662,0.0,1.0
RELI,2018-08-10 00:00:00+00:00,0.0058,0.0086,0.0057,0.0075,652166,7.45677,11.05659,7.328205,9.642375,507,0.0,1.0
RELI,2018-08-13 00:00:00+00:00,0.0069,0.0069,0.0053,0.0069,192344,8.870985,8.870985,6.813945,8.870985,149,0.0,1.0
RELI,2018-08-14 00:00:00+00:00,0.0065,0.0065,0.0053,0.0063,553261,8.356725,8.356725,6.813945,8.099595,430,0.0,1.0
RELI,2018-08-15 00:00:00+00:00,0.006,0.006,0.006,0.006,77970,7.7139,7.7139,7.7139,7.7139,60,0.0,1.0
RELI,2018-08-16 00:00:00+00:00,0.006,0.006,0.0054,0.0055,255450,7.7139,7.7139,6.94251,7.071075,198,0.0,1.0
RELI,2018-08-17 00:00:00+00:00,0.0072,0.0072,0.0059,0.0059,248651,9.25668,9.25668,7.585335,7.585335,193,0.0,1.0
RELI,2018-08-20 00:00:00+00:00,0.0064,0.007,0.006,0.007,60650,8.22816,8.99955,7.7139,8.99955,47,0.0,1.0
